Feature,Coefficient
DiabetesPedigreeFunction,0.5900229351089241
BMI,0.10151985106067014
Pregnancies,0.06106261613327148
Age,0.03768786544441903
Glucose,0.033788798102101864
BloodPressure,0.013877917746806532
SkinThickness,0.004745540721461208
Insulin,0.001944602427555145
