Feature,Importance
Glucose,0.24954692068834597
BMI,0.16314254890512964
Age,0.1560275402430248
DiabetesPedigreeFunction,0.11375864826918462
BloodPressure,0.0919425174865894
Pregnancies,0.08033567638380756
SkinThickness,0.07502296907537655
Insulin,0.07022317894854155
